"Indices","Stock Code","Yh Code","Company Name","Website","Description"
"AIM All Share","AAU","AAU.L","ARIANA RESOURCES PLC",https://arianaresources.com/,"Following significant demand from shareholders for Ariana branded shirts, the Company has created an online store at Teemill.  Ariana has long been committed to the integrity of its projects and the well-being of its employees, stakeholders and the local communities where we operate. All profits from t-shirt sales will be channelled to our community projects.  //  Teemill delivers sustainably sourced organic cotton branded apparel. Their fully sustainable and circular business model is at the forefront of the clothing industry and fits well with Ariana’s own strong environmental and socially aware ethos. Visit the Teemill Store:  https://ariana-resources.teemill.com/.    //  "
"AIM All Share","ABDP","ABDP.L","AB DYNAMICS PLC",https://www.abdynamics.com/,"We supply integrated test systems for the global automotive industry. Our testing products and systems are used in the development & testing of future vehicles.  //  AB Dynamics is one of the world’s leading specialists in automotive test systems across a wide range of applications, from validation and durability to the development of advanced technologies for active safety and autonomous driving. Our focus on quality, support and test efficiency has made us a long-term trusted partner for vehicle manufacturers and technology suppliers worldwide.  //  Find out the latest news from AB Dynamics and meet our team at these industry events, conferences and exhibitions.  //  "
"AIM All Share","ACP","ACP.L","ARMADALE CAPITAL PLC",http://armadalecapitalplc.com/,"Armadale Capital plc is an AIM listed investment company focussed on resource projects in Africa. Its primary interest is the high grade Mahenge Liandu Graphite Project in Tanzania.  //  Armadale Capital plc is an AIM listed investment
company focussed on resource projects in Africa.
Its primary interest is the high grade Mahenge Graphite Project in Tanzania.  //  Armadale Capital’s primary focus is on the Mahenge Graphite Project – located in a globally significant coarse flake
graphite region in Tanzania – which boasts one of the largest high
grade graphite resources in the country.  //  "
"AIM All Share","ACRL","ACRL.L","ACCROL GROUP HOLDINGS PLC",https://www.accrol.co.uk/,"Accrol Group. Redefining value in tissue products. Accrol supplies the best value toilet roll, kitchen towel and facial tissue to the UK market.  //  Accrol supplies the best value toilet roll, kitchen towel and facial tissue to the UK market.  //    //  "
"AIM All Share","ADME","ADME.L","ADM ENERGY PLC",https://admenergyplc.com/,"ADM Energy PLC, listed in the UK and Germany, is a natural resources investing company with an existing asset base in Nigeria.  //    //  With a focus on West Africa and a quality oil producing asset offshore Nigeria, ADM is an oil and gas investing company with an aggressive growth strategy. 
							  //  "
"AIM All Share","ADT","ADT.L","ADEPT TECHNOLOGY GROUP PLC",https://www.adept.co.uk/,"Uniting technology, inspiring people. AdEPT brings IT, telecoms and connectivity technology together with expert know-how for healthcare, education &amp; businesses.  //  Bringing together IT, telecoms and connectivity with key partnerships and expert know-how  //  Scroll down  //  "
"AIM All Share","AEG","AEG.L","ACTIVE ENERGY GROUP PLC",https://www.aegplc.com/,"&nbsp; Developing next generation biomass fuels using sustainable resources Active Energy Group plc is a London listed (AIM: AEG) renewable energy company focused on second generation biomass products that have the potential to transform the traditional coal fired-power industry and existing renewable biomass industry. To complement these activities AEG is developing an existing lumber business &hellip; Continue reading &quot;Aeg Home&quot;  //  &nbsp;  //  Continue  //  "
"AIM All Share","AEXG","AEXG.L","AEX GOLD INC. COM SHS NPV (DI)",,""
"AIM All Share","AFC","AFC.L","AFC ENERGY PLC",https://www.afcenergy.com/,"Developed in AFC Energy’s UK research and manufacturing facilities at Dunsfold in Surrey, its Hydrogen Power (H-Power) systems use a patented proprietary design to ensure highest efficiency, robust design and economic operation whilst being free of pollutants and greenhouse gases.  The Company is committed to helping current and future customers achieve a net zero carbon future through continuous development and improvement of its product base, focused around its core Alkaline Fuel Cell technology.  //  AFC Energy had a transformational 2020, including the launch of a strategic partnership with ABB in December to create the next generation of high power sustainable electric vehicle (EV) charging solutions for grid constrained locations across the globe.  Read more on this collaboration here.  //  "
"AIM All Share","AFM","AFM.L","ALPHA FINANCIAL MARKETS CONSULTING",https://alphafmc.com/,"In a fluctuating landscape of consolidation, digitisation, shrinking margins and automation, Alpha FMC helps our clients shape their business for the future.  //  For Alpha’s 2021 Outlook, our experts present viewpoints on the key topics that we think will affect the industry in the year ahead.   //  Alpha FMC helps asset and wealth managers think smarter and shape their business for the future.  //  "
