Indices,Stock Code,Yh Code,Company Name,Website,Description
FTSE 100,AAL,AAL.L,ANGLO AMERICAN PLC,https://www.angloamerican.com/,"Anglo American is a global mining company with a portfolio that spans diamonds, platinum, copper, iron ore & more.  //  Read all our latest press releases, speeches and presentations.  //  We have launched YourVoice, a service which provides you with a confidential and secure way to tell us about your concerns.   //  "
FTSE 100,ABF,ABF.L,ASSOCIATED BRITISH FOODS PLC,https://www.abf.co.uk/,"Home  //  SHARE PRICE: 2,208.00 -13.00 09:20, 14 Jan 2021 15 MINS DELAY  //  We use cookies to make our website better. Click here to learn more.  //  "
FTSE 100,ADM,ADM.L,ADMIRAL GROUP PLC,https://admiralgroup.co.uk/,Home page  //  Latest News  //  
FTSE 100,AHT,AHT.L,ASHTEAD GROUP PLC,https://www.ashtead-group.com/,"Ashtead is an international equipment rental company with national networks in the US, the UK and Canada.  //  Our objective is to deliver sustainable value&nbsp;and above average performance across&nbsp;the economic cycle.  //  Learn more about Ashtead Group  //  "
FTSE 100,ANTO,ANTO.L,ANTOFAGASTA PLC,https://www.antofagasta.co.uk/,"Antofagasta  //  
							This website uses cookies in order to provide you with the best possible experience. By continuing to browse, we assume that you are happy to receive all cookies on our website.
									Find out more information or change your settings by clicking here.

						  //  Receive our news alerts and latest news and events.  //  "
FTSE 100,AUTO,AUTO.L,AUTO TRADER GROUP PLC,https://plc.autotrader.co.uk/,"Auto Trader Group plc is the UK’s largest digital automotive marketplace for new and used cars. It sits at the heart of the UK’s vehicle buying and selling processes, bringing together the largest and most engaged consumer audience with the largest pool of vehicle sellers.  //  Who we are  //  We are the UK and Ireland&#39;s largest digital automotive marketplace  //  "
FTSE 100,AVST,AVST.L,AVAST PLC,https://investors.avast.com/,"We have placed cookies on your computer, as they are essential for parts of the site to operate. You may delete and block all cookies from this site, but certain functionality will cease to operate. Find out more.  //  
						Avast is one of the world’s largest cybersecurity companies, with over 435 million users around the globe
					  //  "
FTSE 100,AVV,AVV.L,AVEVA GROUP PLC,https://www.aveva.com/en/,"We work with you and harness the power of our ecosystem, to deliver solutions and expertise to optimize engineering, operations and performance.  //  Our CEO Craig Hayman and Schneider Electric’s Peter Herweck predict the four themes set to drive digital transformation in 2021  //  We work with you and harness the power of our ecosystem, to deliver solutions and expertise that accelerate transformation while optimizing engineering, operations and performance.  //  "
FTSE 100,AZN,AZN.L,ASTRAZENECA PLC,https://www.astrazeneca.com/,"AstraZeneca is a global, science-led biopharmaceutical business and our innovative medicines are used by millions of patients worldwide.  //  Read more  //  
Accelerating our strategic and financial development: AstraZeneca to acquire Alexion
  //  "
FTSE 100,BA.,BAL,BAE SYSTEMS PLC,https://www.baesystems.com/en/home,
